"ID","Sample_Name","Sentrix_ID","Sentrix_Position"
"AB521-T","S323-T",3999844060,"H"
"AB521M-T","AB521T",3999888024,"H"
"AB521M-TR","AB521b_T",3999844061,"B"
"AB521M-X1","AB_521x1",3999305070,"K"
"AB521M-X1R1","AB521/2x1",3999305070,"D"
"AB521M-XC7","AB_521_MM7",3999844058,"K"
"AB551-T","AB551-T",9978099057,"H"
"AB551-TR","AB_551T",3999888024,"E"
"AB551-X0R","AB551/1x0_1943",3999844058,"A"
"AB551-X1","AB551/3",9978099033,"F"
"AB551-X1C7","AB551_MM7",3999888024,"C"
"AB555-X0","AB_555x0",3999844060,"K"
"AB559-T","AB559T",3999844061,"C"
"AB559-X1","AB559x1_1490",3999844061,"J"
"AB580-T","AB580T",3999305070,"C"
"AB580-X0","AB580x0",3999844060,"C"
"AB582-T","AB582T_core",3999305070,"F"
"AB630-T","AB_630T",3999844060,"E"
"AB630-X0","AB630x0_7543",3999844061,"K"
"HCI001-X0","HCI001X0",9347469080,"H"
"HCI001-X0R","HCI001X0R1",9347469080,"K"
"HCI001-X3","HCI001-X3",9534190024,"H"
"HCI001-X3C7","001x3_MM7",3999888024,"B"
"HCI001-X4","HCI001-X4",9534190003,"D"
"HCI001-X5","HCI001X5",9347469080,"D"
"HCI001-X5R","HCI001X5R1",9347469080,"A"
"HCI002-X0","HCI002X0",9371160044,"C"
"HCI002-X0R","HCI002X0R1",9371160044,"G"
"HCI002-X2","HCI002-X2",9534190015,"K"
"HCI002-X3R","HCI002X3R1",9371160044,"A"
"HCI002-X4C7","002x4_MM7",3999305070,"B"
"HCI002-X6","HCI002-X6",9534190003,"L"
"HCI002-X6R","HCI002-X6",9978099057,"B"
"HCI004-X1","HCI004X1",9347469072,"K"
"HCI004-X1R","HCI004X1R1",9347469072,"E"
"HCI004-X2","HCI_004x2_78096_1",3999844060,"B"
"HCI004-X2R","HCI_004x2_78096_2",3999844061,"E"
"HCI004-X3","HCI004-X3",9534190024,"F"
"HCI004-X4","004x4",3999844058,"E"
"HCI005-X2","HCI005-X2",9534190003,"G"
"HCI005-X2R","HCI005-x2",9978099054,"B"
"HCI006-X1","HCI_006x1_1290",3999888024,"D"
"HCI008-X1","HCI008-X1",9534190015,"L"
"HCI008-X1R","HCI008-X1",9534190024,"I"
"HCI008-X1R1","HCI008-x1",9978099054,"G"
"HCI009-X1R","HCI009X1R1",9347469080,"B"
"HCI009-X1R1","HCI009-X1",9534190024,"C"
"HCI009-X4","HCI009-X4",9534190003,"C"
"HCI009-X4C","HCI009-X4",9534190003,"J"
"HCI009-X4CR","HCI009-X4",9534190015,"D"
"HCI009-X4R","HCI_009x4_88151",3999844060,"L"
"HCI009-X6","HCI009-X6",9978099057,"F"
"HCI009-X8","HCI_009x8_12682",3999844061,"A"
"HCI010-X0","HCI0010X0",9347469072,"A"
"HCI010-X1","HCI0010X1",9347469072,"H"
"HCI010-X1R","HCI0010X1R1",9347469072,"I"
"HCI010-X2","HCI010-X2",9534190015,"F"
"HCI010-X2R","HCI010-X2",9978099084,"L"
"HCI010-X3","HCI_010x3",3999305070,"H"
"HCI010-X3C7","HCI_010x3_MM7",3999844058,"J"
"HCI011-X1","HCI011-X1",9534190003,"E"
"HCI014-X0","HCI_014x0",3999888024,"A"
"IC006-X0","IC06x0",3999305070,"G"
"IC007-X0","IC07-x0",9978099057,"I"
"IC007-X1","IC07x1_7597",3999844058,"I"
"IC007-X3","IC07x3_14323",3999888024,"I"
"STG035-T","STG-053T",9978099033,"A"
"STG052-T","STG-052T",9978099057,"G"
"STG090-T","STG-090T",9978099033,"C"
"STG096-T","STG-096T",9978099084,"B"
"STG107-T","STG-107T",9978099054,"A"
"STG111-T","STG-111T",9978099054,"L"
"STG114-T","STG-114T",9978099084,"A"
"STG116-T","STG-116T",9978099033,"B"
"STG119-T","STG-119T",9978099084,"E"
"STG120-T","STG-120T",9978099054,"I"
"STG133-T","STG-133T",9978099033,"D"
"STG139-N","STG139N",9371160044,"B"
"STG139-T","STG139T",9347469072,"J"
"STG139-TR","STG139TR2",9347469072,"C"
"STG139-TR1","STG139TR1",9371160044,"K"
"STG139-X0","STG139X0",9371160044,"D"
"STG139-X12","STG-139-X12",9534190015,"A"
"STG139-X13","STG139X13",9371160044,"L"
"STG139-X13R","STG139X13R1",9347469072,"F"
"STG139-X14","STG139-X14",9534190003,"F"
"STG139-X2","STG139X2",9347469072,"L"
"STG139-X2R","STG139X2R1",9371160044,"F"
"STG139-X3","STG139X3R1",9371160044,"J"
"STG139-X5","STG139X5",9347469072,"G"
"STG139-X5R","STG139X5",9371160044,"E"
"STG139M-X5R1","STG139-X5_t",9534190024,"B"
"STG139-X5R2","STG139-X5",9534190024,"K"
"STG139M-X0","STG139MX0",9347469072,"B"
"STG139M-X2","STG139m-X2",9534190003,"B"
"STG139M-X2R","STG139M-x2",9978099084,"C"
"STG139M-X5","STG139MX5",9347469072,"D"
"STG139M-X5R","STG139MX5R1",9371160044,"H"
"STG143-N","STG143NTR1",9347469055,"A"
"STG143-T","STG143TTR1",9347469055,"F"
"STG143-X0","STG143X0",9347469055,"K"
"STG143-X0R","STG143X0R1",9347469055,"H"
"STG143-X2","STG143-X2",9978099054,"D"
"STG143-X2R","S_143x2_88298",3999888024,"K"
"STG157-T","STG-157T",9978099033,"J"
"STG195-T","STG195T",9347469055,"G"
"STG195-TR","STG195TTR2",9347469055,"C"
"STG195-X0","STG195X0",9347469055,"B"
"STG195-X1","STG195X1",9347469055,"E"
"STG195-X1R","STG195X1R1",9347469055,"L"
"STG195-X2","S195x2",3999844058,"H"
"STG195-X3","S_195x3_81722",3999888024,"G"
"STG195-X3C7","S195x3_MM7",3999844060,"G"
"STG201-T","STG201PE",9347469080,"G"
"STG201-TR","STG201PETR1",9347469080,"I"
"STG201-X0","STG201X0",9347469080,"C"
"STG201-X2","STG201-X2",9534190003,"A"
"STG201-X3","STG201X3",9347469080,"L"
"STG201-X3R","STG201X3R1",9347469080,"F"
"STG201-X5C-BMN","STG201_BMN",3999305070,"E"
"STG201-X5C-GDC","STG201_GDC_",3999844058,"B"
"STG201-X5C-V","STG201_vehicle",3999844061,"H"
"STG201-X6","STG201-X6",9534190015,"H"
"STG282-X1","STG282-X1",9534190015,"J"
"STG282-X1C","STG282-X1",9534190003,"I"
"STG282-X1CR","STG282-X1",9534190015,"B"
"STG282-X1R","STG282-X1A",9978099033,"L"
"STG282-X1R1","STG282-X1B",9978099033,"G"
"STG282-X2","STG282-x2",9978099033,"K"
"STG282-X3","S282x3_1494",3999305070,"A"
"STG316-X1","STG316-X1",9534190015,"I"
"STG316-X1R","STG316-X1A",9978099033,"I"
"STG316-X1R1","STG316-X1B",9978099057,"C"
"STG316-X1R2","STG316-X1",9978099057,"A"
"STG316-X3C7","S316x3_MM7",3999844061,"G"
"STG316-X4","S316x4",3999888024,"J"
"STG335-N","STG335-N",9978099084,"H"
"STG335-T","STG335-T",9978099084,"G"
"STG335-X1","STG335-X1",9978099054,"F"
"STG335-X1R","S_335x1_4170",3999844060,"A"
"VHIO006-X","VHIO-6x",9978099057,"K"
"VHIO039-X14","V039ox1_13308",3999844058,"G"
"VHIO089-T","VHIO89-T",9978099084,"J"
"VHIO089-X11","VHIO089-X0",9534190024,"J"
"VHIO093-T","VHIO93-T",9978099057,"E"
"VHIO093-X5","VHIO093-X1",9978099054,"C"
"VHIO093-X7","V093x3_11787_",3999888024,"F"
"VHIO093-X7R","V093x3R_93737",3999844060,"D"
"VHIO093-X7R1","V093x3_11787_repeat",3999844060,"J"
"VHIO094-T","VHIO-94T",9978099057,"L"
"VHIO094-X2","VHIO-94X2",9978099054,"H"
"VHIO098-T","098T",9534190024,"G"
"VHIO098-TR","VHIO98-T",9978099084,"F"
"VHIO098-X10","VHIO098-X1",9534190015,"E"
"VHIO098-X10R","VHIO098-X1",9534190024,"D"
"VHIO098-X11","VHIO098-X2",9978099084,"K"
"VHIO102-T","VHIO102-T",9978099033,"H"
"VHIO102-X7","VHIO102-X1",9978099084,"I"
"VHIO102-X7R","102x1_92101",3999844058,"C"
"VHIO102-X9","V102x3",3999844058,"D"
"VHIO124-X0","V124x0",3999844061,"F"
"VHIO131-X","V131X",3999305070,"L"
"VHIO161-X6","V161X",3999305070,"J"
"VHIO169-X5","V169o3x1",3999844060,"F"
"VHIO169-XC7","V169_MM7",3999844061,"D"
"VHIO179-X10C7","V179x4_MM7",3999305070,"I"
"VHIO179-X7","VHIO179-X1",9534190015,"G"
"VHIO179-X7C","VHIO179",9534190003,"H"
"VHIO179-X7R","VHIO179-X1",9978099033,"E"
"VHIO179-X9","V179x3_1483",3999844061,"L"
"VHIO244-X4","V244o2x1_16211",3999888024,"L"
"VHIO006-T","VHIO-6T",9978099054,"K"
