"","unique.drugid","PUTATIVE_TARGET.x","Type","X","Pathway","BRAND_NAME"
"(5Z)-7-Oxozeaenol","(5Z)-7-Oxozeaenol","TAK1 (MAP3K7)","targeted","signalling","other",""
"17-AAG","17-AAG","HSP90","chemo","chemo","other","Telatinib"
"5-Fluorouracil","5-Fluorouracil","antimetabolite","chemo","chemo","DNA replication",""
"681640","681640","WEE1, CHEK1","targeted","signalling","Genome integrity (CHEK)",""
"ABT-263","ABT-263","BCL2, BCL-XL, BCL-W","targeted","apoptosis","apoptosis regulation",""
"AG-014699","AG-014699","PARP1, PARP2","targeted","DDR","Genome integrity (PARP)",""
"AICAR","AICAR","AMPK agonist","targeted","metabolism","metabolism","AICAR"
"AKT inhibitor VIII","AKT inhibitor VIII","AKT1/2/3","targeted","signalling","PI3K signaling",""
"AMG-706","AMG-706","VEGFR, RET, c-KIT, PDGFR","targeted","signalling","RTK signaling","Motesanib Diphosphate"
"Anastrozole","Anastrozole","ER","targeted","hormone","Unknown",NA
"Axitinib","Axitinib","PDGFR, KIT, VEGFR","targeted","signalling","RTK signaling","Axitinib"
"AZ628","AZ628","BRAF","targeted","signalling","BRAF",""
"AZ960","AZ960","JAK2","targeted","signalling","Unknown",NA
"AZD2281","AZD2281","PARP1, PARP2","targeted","DDR","Unknown",NA
"AZD6482","AZD6482","PI3Kb","targeted","signalling","PI3Kb",""
"AZD7762","AZD7762","CHEK1, CHEK2","targeted","signalling","Genome integrity (CHEK)",""
"AZD8055","AZD8055","mTORC1/2","targeted","signalling","TOR signaling","pp242"
"AZD8931","AZD8931","ERBB1, ERBB2, ERRB3","targeted","signalling","Unknown",NA
"BI-2536","BI-2536","PLK1/2/3","targeted","signalling","mitosis","NPK33-1-98-1"
"BI-D1870","BI-D1870","RSK1/2/3/5, PLK1, AURKB","targeted","signalling","Unknown",NA
"BIBW2992","BIBW2992","EGFR, ERBB2","targeted","signalling","Unknown",NA
"Bicalutamide","Bicalutamide","Androgen receptor","targeted","hormone","other","Casodex"
"BIRB 0796","BIRB 0796","p38, JNK2","targeted","signalling","JNK and p38 signaling","Doramapimod"
"BMN-673","BMN-673","PARP1","targeted","DDR","Genome integrity (PARP)",""
"BMS-345541","BMS-345541","IKK-beta","targeted","signalling","other",""
"BMS-536924","BMS-536924","IGF-1R","targeted","signalling","IGFR signaling",""
"BMS-708163","BMS-708163","gamma-secretase","targeted","signalling","other",""
"BMS-754807","BMS-754807","IGF-1R/IR","targeted","signalling","IGFR signaling",""
"Bortezomib","Bortezomib","Proteasome","chemo","chemo","other","Velcade"
"Bosutinib","Bosutinib","SRC, ABL, TEC","targeted","signalling","ABL signaling","Bosulif"
"Bryostatin","Bryostatin","PKC","targeted","signalling","Unknown",NA
"BX-795","BX-795","TBK1, PDPK1, IKK, AURKB, AURKC","targeted","signalling","other",""
"BYL719","BYL719","PI3Ka","targeted","signalling","PI3K signaling",NA
"Camptothecin","Camptothecin","TOP1","chemo","chemo","DNA replication","SN-38"
"Carboplatin","Carboplatin","DNA akylating agent","chemo","chemo","Unknown",NA
"CEP-701","CEP-701","FLT3, JAK2, NTRK1, RET","targeted","signalling","RTK signaling","Lestaurtinib"
"CHIR-99021","CHIR-99021","GSK3B","targeted","signalling","WNT signaling",""
"Cisplatin","Cisplatin","DNA crosslinker","chemo","chemo","DNA replication","Cisplatin"
"Cyclophosphamide","Cyclophosphamide","DNA akylating agent","chemo","chemo","Unknown",NA
"Docetaxel","Docetaxel","Microtubules","chemo","chemo","cytoskeleton","Taxotere"
"EHT 1864","EHT 1864","Rac GTPases","targeted","signalling","cytoskeleton",""
"Embelin","Embelin","XIAP","targeted","apoptosis","apoptosis regulation",""
"Epirubicin","Epirubicin","DNA damage","chemo","chemo","Unknown",NA
"EPZ004777","EPZ004777","Dot1L (Histone-lysine N-methyltransferase, H3 lysine-79 specific)","targeted","epigenetics","Unknown",NA
"EPZ5676","EPZ5676","DOT1L ","targeted","epigenetics","Unknown",NA
"Erlotinib","Erlotinib","EGFR","targeted","signalling","EGFR signaling","Tarceva"
"Everolimus","Everolimus","mTOR","targeted","signalling","Unknown",NA
"FK866","FK866","NAMPT inhibitor","targeted","metabolism","metabolism",""
"Fulvestrant","Fulvestrant","ER","targeted","hormone","Unknown",NA
"GDC-0449","GDC-0449","SMO","targeted","signalling","Unknown",NA
"GDC0941","GDC0941","PI3K (class 1)","targeted","signalling","PI3K signaling",""
"Gefitinib","Gefitinib","EGFR","targeted","signalling","EGFR signaling","Iressa"
"Gemcitibine","Gemcitibine","DNA replication","chemo","chemo","Unknown",NA
"GSK1120212","GSK1120212","MEK1, MEK2","targeted","signalling","Unknown",NA
"GSK1904529A","GSK1904529A","IGF-IR and IR","targeted","signalling","Unknown",NA
"GSK2118436","GSK2118436","BRAF","targeted","signalling","BRAF",NA
"GSK269962A","GSK269962A","ROCK1/2","targeted","signalling","cytoskeleton",""
"GW 441756","GW 441756","NTRK1","targeted","signalling","RTK signaling",""
"GW843682X (AN-13)","GW843682X (AN-13)","PLK1","targeted","signalling","Unknown",NA
"INCB-18424","INCB-18424","JAK1, JAK2, TYK2","targeted","signalling","Unknown",NA
"JNJ-26854165","JNJ-26854165","MDM2","targeted","signalling","p53 pathway","Serdemetan"
"JNK Inhibitor VIII","JNK Inhibitor VIII","JNK","targeted","signalling","JNK and p38 signaling",""
"JQ1","JQ1","BRD2, BRD3, BRD4","targeted","epigenetics","chromatin other",""
"KU-55933","KU-55933","ATM","targeted","DDR","Genome integrity",""
"Lapatinib","Lapatinib","ERBB2, EGFR","targeted","signalling","EGFR signaling","Tykerb, Tyverb"
"LCL161","LCL161",NA,"targeted","apoptosis","Unknown",NA
"Lenalidomide","Lenalidomide","TNF alpha","targeted","signalling","other","Revlimid"
"LY317615","LY317615","PKC beta","targeted","signalling","other",""
"mirin","mirin","MRE11-Rad50-Nbs1 complex","targeted","DDR","Unknown",NA
"MK-2206","MK-2206","AKT1, AKT2","targeted","signalling","PI3K signaling",""
"MLN8237","MLN8237","AURKA","targeted","signalling","Unknown",NA
"Nilotinib","Nilotinib","ABL","targeted","signalling","ABL signaling","Tasigna"
"NU-7441","NU-7441","DNAPK","targeted","DDR","Genome integrity",""
"Nutlin-3a","Nutlin-3a","MDM2","targeted","signalling","p53 pathway",""
"NVP-AUY922","NVP-AUY922","HSP90","chemo","chemo","Unknown",NA
"NVP-BEZ235","NVP-BEZ235","PI3K (Class 1) and mTORC1/2","targeted","signalling","PI3K signaling",""
"Obatoclax Mesylate","Obatoclax Mesylate","BCL-2, BCL-XL, MCL-1","targeted","apoptosis","apoptosis regulation","GX15-070"
"Olaparib(1495) + Temozolomide(1375)","Olaparib(1495) + Temozolomide(1375)","PARP1","targeted","DDR","Genome integrity (PARP)",NA
"OSI-906","OSI-906","IGF1R","targeted","signalling","IGFR signaling",""
"PAC-1","PAC-1","Caspase 3 activator","targeted","apoptosis","apoptosis regulation",""
"Paclitaxel","Paclitaxel","Beta subunit of tubulin","chemo","chemo","cytoskeleton","Taxol"
"PD-0325901","PD-0325901","MEK1, MEK2","targeted","signalling","ERK MAPK signaling",""
"PD-0332991","PD-0332991","CDK4, CDK6","targeted","signalling","cell cycle",""
"PD-173074","PD-173074","FGFR1, FGFR3","targeted","signalling","RTK signaling",""
"PF-02341066","PF-02341066","MET, ALK","targeted","signalling","Unknown",NA
"PF-4708671","PF-4708671","p70 S6KA","targeted","signalling","TOR signaling",""
"PF-562271","PF-562271","FAK","targeted","signalling","cytoskeleton",""
"PF477736","PF477736","CHEK1 (CHEK2)","targeted","signalling","Genome integrity (CHEK)",NA
"PLX4720","PLX4720","BRAF","targeted","signalling","BRAF","Zelboraf (derivative)"
"RI-1","RI-1","RAD51","targeted","DDR","Unknown",NA
"RO-3306","RO-3306","CDK1","targeted","signalling","cell cycle",""
"SB 216763","SB 216763","GSK3A, GSK3B","targeted","signalling","WNT signaling",""
"SB-505124","SB-505124","TGFbetaR-I (ALK5)","targeted","signalling","other",""
"SCH772984","SCH772984","ERK1/2","targeted","signalling","Unknown",NA
"SL 0101-1","SL 0101-1","RSK, AURKB, PIM3","targeted","signalling","ERK MAPK signaling",""
"Sorafenib","Sorafenib","PDGFR, KIT, VEGFR","targeted","signalling","RTK signaling","Nexavar"
"Tamoxifen","Tamoxifen","ER","targeted","hormone","other",""
"Temozolomide","Temozolomide","DNA akylating agent","chemo","chemo","DNA replication",""
"TW 37","TW 37","BCL-2, BCL-XL","targeted","apoptosis","apoptosis regulation",""
"Vinblastine","Vinblastine","Microtubules","chemo","chemo","cytoskeleton","Vinblastine"
"Vorinostat","Vorinostat","HDAC inhibitor Class I, IIa, IIb, IV","targeted","epigenetics","chromain histone acetylation","Zolinza"
"XAV 939","XAV 939","Tankyrase (PARP5a)","targeted","signalling","WNT signaling",""
"YK 4-279","YK 4-279","RNA helicase A","targeted","RNA ","other",""
"ZM-447439","ZM-447439","AURKB","targeted","signalling","mitosis",""
